Id,tema,Pergunta,Resposta,Fonte (se diferente dos livros)
29,Física Geral,Como cargas elétricas interagem entre si?,,
30,Física Geral,O que é interferência de onda?,,
31,Orbitais,Um elétron pode estar em dois lugares ao mesmo tempo?,,
32,Física Geral,"Se não podemos ver o elétron diretamente, como os cientistas sabem que ele existe?","Apesar de não ser visível, é possível observar o elétron de outras maneiras, pois ele interage com objetos que nós podemos observar. Uma maneira de observar um elétron é dentro de uma câmara de bolhas ou em um microscópio eletrônico.",
33,Física Geral,O que aconteceia se os elétrons não existissem?,Todas as leis da física seriam completamente diferentes e o universo funcionaria de outra maneira desde a sua formação inicial até a sua evolução como um todo.,
34,Física Geral,"O que mantém os elétrons ""presos"" ao núcleo atômico?",,
35,Mecânica Quântica,O que faz um átomo ser diferente de outro?,,
36,Mecânica Quântica,O que acontece quando um elétron absorve energia?,,
37,Física Geral,Por que alguns materiais brilham no escuro?,,
38,Mecânica Quântica,De onde vem a cor dos objetos?,,
39,Mecânica Quântica,A luz sempre se comporta como a mesma entidade?,,
40,Orbitais,Existe um limite de elétrons em um orbital?,"Sim, de acordo com o Princípio de Exclusão de Pauli apenas dois elétrons podem estar em um orbital.",
41,Mecânica Quântica,O que acontece quando um átomo ganha ou perde elétrons?,,
42,Orbitais,Como os orbitais influenciam as reações químicas?,,
43,Orbitais,Por que os elétrons ocupam primeiro os níveis mais baixos de energia?,,
44,Mecânica Quântica,O que a mecânica quântica estuda?,,
45,Orbitais,A função de onda mostra a posição exata do elétron?,"Não, é impossível saber com precisão a posição de um elétron. A função de onda descreve a probabilidade de um elétron ser encontrado em uma certa região.",
46,Orbitais,Onde os elétrons ficam?,,
47,Mecânica Quântica,Do que é feita a luz?,,
48,Mecânica Quântica,Por que os elétrons são importantes?,,
49,Orbitais,Orbital é a mesma coisa que órbita de planeta?,"Não, ambos não tem qualquer tipo de relação. Orbitais descrevem as áreas onde um elétron pode estar, enquanto orbitas descrevem movimentos de corpos celestes, como planetas.",
50,Mecânica Quântica,O mundo quântico é invisível?,,
51,Orbitais,Os elétrons giram como bolinhas?,"Não, os elétrons não giram. Seu movimento ao redor do núcleo atômico é probabilístico e por isso não é possível que ele descreva um movimento circular contínuo. E quanto o elétron girar em torno de si mesmo também não é possível; apesar de o elétron ter um spin intrínseco isso não significa que ele esteja, de fato, girando.",
52,Física Geral,"Se não dá pra ver, como sabemos que existe?",,
53,Orbitais,Existem orbitais diferentes?,,
54,Orbitais,Por que os orbitais importam?,,
55,Mecânica Quântica,Fótons têm massa?,"Não, fótons são partículas com massa nula.",
56,Mecânica Quântica,Os fótons podem viajar no espaço?,,
57,Orbitais,A função de onda é uma onda de verdade?,"Não, a função de onda apenas descreve a região onde um elétron (que é uma partícula com características ondulatórias) pode estar e como seu estado varia com o tempo.",
58,Matemática,O que quer dizer probabilidade?,,
59,Mecânica Quântica,Por que a física quântica usa números complexos?,,
60,Física Geral,Por que as regras mudam quando vamos para escalas menores?,,
61,Orbitais,Elétrons podem ganhar energia?,,
62,Orbitais,O que acontece quando um elétron perde energia?,,
63,Orbitais,O que significa dizer que um orbital tem energia?,,
64,Orbitais,Dois elétrons podem estar no mesmo orbital?,Dois elétrons podem estar no mesmo orbital desde que possuam spins diferentes.,
65,Mecânica Quântica,Como nasce um fóton?,,
66,Mecânica Quântica,Todas as luzes tem o mesmo tipo de fóton?,,
67,Mecânica Quântica,O que a função de onda descreve?,"A função de onda descreve a região onde podemos encontrar um elétron, bem como a maneira que o estado desse elétron varia com o tempo.",
68,Mecânica Quântica,Por que dizemos que a função de onda pode 'colapsar'?,,
69,Mecânica Quântica,Como o complexo conjugado aparece na quântica?,,
70,Matemática,O que é o módulo ao quadrado?,,
71,Matemática,O que siginifica quantização?,"Quantização é proibir que uma função possa assumir qualquer valor, impondo valores específicos como possíveis resultados de uma equação.",
72,Física Geral,A mecânica quântica substitui a física clássica?,,
73,Mecânica Quântica,Elétrons são partículas ou ondas?,,
74,Mecânica Quântica,Por que não sabemos exatamente onde está um elétron o tempo todo?,,
75,Orbitais,Como um orbital se relaciona com a função de onda?,,
76,Orbitais,Orbitais explicam a tabela periódica?,Sim. A ideia de distribuição de elétrons ao redor do átomo vem das diferentes configurações de orbitais que podem existir na estrutura atômica. Diferentes átomos possuem diferentes configurações eletrônicas.,
77,Mecânica Quântica,Como a energia do fóton se relaciona com a cor da luz?,,
78,Física Geral,Por que fótons são importantes na tecnologia?,,
79,Mecânica Quântica,A função de onda pode ter números complexos?,,
80,Mecânica Quântica,O que significa interpretar o quadrado da função de onda ao quadrado como probabilidade?,,
81,Matemática,O que é um número complexo conjugado?,,
82,Mecânica Quântica,Por que usar o conjugado e não só a função de onda?,,
83,Física Geral,A mecânica quântica está no celular?,,
84,Física Geral,Laser tem alguma relação com fótons?,,
85,Física Geral,Eletricidade tem algo a ver com elétrons?,"Sim, os elétrons são os responsáveis pela eletricidade. São os elétrons que compõem a corrente elétrica que permite que dispositivos eletrônicos, como celulares e geladeiras, funcionem.",
86,Orbitais,Orbitais ajudam a explicar por que existem diferentes tipos de materiais?,,
87,Física Geral,Interferência acontece com partículas?,"Não, interferência é um fenômeno exclusivamente ondulatório.",
88,Matemática,Complexo conjugado é só da física?,,
89,Física Geral,O átomo é grande ou pequeno?,"Comparado ao que vemos no dia a dia, o átomo é minúsculo. Além disso, o núcleo atômico é muito pequeno se comparado ao restante da estrutura atômica. Por esse motivo é tão difícil estudar o átomo como um todo.",
90,Física Geral,A luz do arco-íris também tem fótons?,,
91,Mecânica Quântica,A função de onda é um desenho?,,
92,Orbitais,Posso imaginar um orbital como uma nuvem?,,
93,Mecânica Quântica,Por que elétrons não caem no núcleo o tempo todo?,"O elétron tem uma energia quantizada, o que significa que existem valores específicos de energia que a partícula pode assumir. Para cair no núcleo, a energia do elétron deveria ser contínua. Ou seja, o elétron está preso a um nível de energia mínimo e não consegue assumir valores menores que ele.",
94,Mecânica Quântica,Função de onda é a resposta final sobre a partícula?,,
95,Mecânica Quântica,Por que dois elétrons não podem ocupar o mesmo espaço?,O Princípio de Exclusão de Pauli diz que dois elétrons com mesmo estado quântico não podem ocupar o mesmo espaço ao mesmo tempo pois a função de onda resultante é nula. Isso significa que o a probabilidade de encontrar um elétron nessa configuração de duas partículas exatamente iguais é zero.,Hyperphysics
96,Física Geral,O que é uma onda?,,
97,Mecânica Quântica,O que o modelo atômico de Bohr diz?,,
98,Mecânica Quântica,Por que o modelo de Thompson está errado?,"Se o modelo de Thompson estivesse correto, os elétrons cairiam no núcleo atômico a todo momento, impossibilitando a instabilidade desse átomo. ",
99,Física Geral,Por que foi necessário quantizar a física?,"Na época em que a mecânica quântica estava sendo desenvolvida, haviam diversas inconsistências entre os experimentos e a física clássica, com muitos resultados teóricos levando a valores infinitos enquanto a prática mostrava algo finito. A hipótese testada na época foi a de quantizar certas grandezas, o que resultou na compatibilidade entre a nova teoria (a mecânica quântica) e os resultados experimentais.",
100,Mecânica Quântica,Por que a observação altera o resultado?,,
101,Mecânica Quântica,O que é um estado quântico?,"Estado quântico é a descrição da partícula a partir de informações de energia, momento angular e spin.",
102,Mecânica Quântica,O que é o Princípio de Exclusão de Pauli?,"O Princípio de Exclusão de Pauli afirma que dois elétrons com o mesmo estado quântico não podem ocupar o mesmo espaço simultaneamente, isso é: dentro de um órbital não podem haver dois elétrons exatamente iguais. O motivo para isso acontecer é que a função de onda de dois elétrons iguais se cancela, o que nos retorna uma probabilidade nula dessa configuração existir.",
103,Mecânica Quântica,O que é spin?,"Spin é uma característica de partículas, como massa e energia.",
